StartDate,Mean TemperatureF,MeanDew PointF, Events,Ridership,StartDate
2011/1/16,37,18,,2408,2011/1/16
2011/1/17,31,19,Rain-Snow,2000,2011/1/17
2011/1/18,33,31,Rain,1360,2011/1/18
2011/1/19,44,34,Fog-Rain,3298,2011/1/19
2011/1/20,40,24,Snow,3830,2011/1/20
2011/1/21,30,15,Rain-Snow,3074,2011/1/21
2011/1/22,23,1,,1962,2011/1/22
2011/1/23,25,4,,1972,2011/1/23
2011/1/24,25,9,,2828,2011/1/24
2011/1/25,38,24,,3964,2011/1/25
2011/1/26,35,32,Rain-Snow-Thunderstorm,1006,2011/1/26
2011/1/27,34,25,,860,2011/1/27
2011/1/28,34,28,Snow,2330,2011/1/28
2011/1/29,33,23,,2194,2011/1/29
2011/1/30,36,26,,2186,2011/1/30
2011/1/31,33,19,Snow,2998,2011/1/31
2011/2/1,33,29,Rain,2720,2011/2/1
2011/2/2,43,33,Fog-Rain,3048,2011/2/2
2011/2/3,33,13,,3090,2011/2/3
2011/2/4,35,22,,3410,2011/2/4
2011/2/5,38,35,Rain,2010,2011/2/5
2011/2/6,43,27,,3240,2011/2/6
2011/2/7,40,33,,3408,2011/2/7
2011/2/8,33,18,Rain,3048,2011/2/8
2011/2/9,26,13,Snow,3194,2011/2/9
2011/2/10,29,8,Snow,3068,2011/2/10
2011/2/11,33,16,,3478,2011/2/11
2011/2/12,35,19,,2942,2011/2/12
2011/2/13,43,23,,3176,2011/2/13
2011/2/14,57,26,,3810,2011/2/14
2011/2/15,40,10,,3616,2011/2/15
2011/2/16,45,23,,4216,2011/2/16
2011/2/17,58,37,,4938,2011/2/17
2011/2/18,65,40,,5840,2011/2/18
2011/2/19,49,10,,3268,2011/2/19
2011/2/20,41,19,,3624,2011/2/20
2011/2/21,43,29,Rain-Snow,2210,2011/2/21
2011/2/22,32,21,Snow,2882,2011/2/22
2011/2/23,36,14,,3816,2011/2/23
2011/2/24,42,35,Rain,3602,2011/2/24
2011/2/25,52,41,Rain,2908,2011/2/25
2011/2/26,42,26,,3936,2011/2/26
2011/2/27,48,36,,4802,2011/2/27
2011/2/28,57,50,Rain-Thunderstorm,2878,2011/2/28
2011/3/1,40,23,,3686,2011/3/1
2011/3/2,49,23,,4254,2011/3/2
2011/3/3,34,7,,3354,2011/3/3
2011/3/4,40,27,,3872,2011/3/4
2011/3/5,51,44,,4146,2011/3/5
2011/3/6,46,47,Rain,1208,2011/3/6
2011/3/7,41,23,Snow,3734,2011/3/7
2011/3/8,42,19,,4246,2011/3/8
2011/3/9,42,36,Rain,3762,2011/3/9
2011/3/10,51,52,Rain,1240,2011/3/10
2011/3/11,44,34,Rain,3942,2011/3/11
2011/3/12,46,32,,4264,2011/3/12
2011/3/13,49,33,,4826,2011/3/13
2011/3/14,45,26,,4086,2011/3/14
2011/3/15,43,34,Rain,4092,2011/3/15
2011/3/16,49,42,Rain,4374,2011/3/16
2011/3/17,54,39,,5472,2011/3/17
2011/3/18,64,46,,6454,2011/3/18
2011/3/19,58,33,,6222,2011/3/19
2011/3/20,46,26,Rain,4936,2011/3/20
2011/3/21,57,45,Rain-Thunderstorm,4146,2011/3/21
2011/3/22,56,42,,5388,2011/3/22
2011/3/23,48,43,Rain-Thunderstorm,4234,2011/3/23
2011/3/24,41,37,Rain,3718,2011/3/24
2011/3/25,41,21,,4398,2011/3/25
2011/3/26,40,16,,4990,2011/3/26
2011/3/27,39,21,Snow,3382,2011/3/27
2011/3/28,39,10,,4040,2011/3/28
2011/3/29,43,14,,4840,2011/3/29
2011/3/30,43,33,Rain,3056,2011/3/30
2011/3/31,40,38,Rain,3348,2011/3/31
2011/4/1,44,34,Rain,4432,2011/4/1
2011/4/2,44,34,Rain-Hail,4504,2011/4/2
2011/4/3,50,30,Thunderstorm,6496,2011/4/3
2011/4/4,67,42,,6214,2011/4/4
2011/4/5,57,45,Rain-Thunderstorm,3572,2011/4/5
2011/4/6,50,30,,5594,2011/4/6
2011/4/7,57,41,,6266,2011/4/7
2011/4/8,47,42,Rain,2934,2011/4/8
2011/4/9,47,43,Rain,4908,2011/4/9
2011/4/10,56,50,,5784,2011/4/10
2011/4/11,70,58,Rain,6680,2011/4/11
2011/4/12,62,52,Rain,4050,2011/4/12
2011/4/13,54,48,Rain,4300,2011/4/13
2011/4/14,59,40,,6502,2011/4/14
2011/4/15,57,45,,6230,2011/4/15
2011/4/16,56,54,Rain-Thunderstorm,1590,2011/4/16
2011/4/17,57,36,,7482,2011/4/17
2011/4/18,63,45,,6834,2011/4/18
2011/4/19,62,50,Rain,6384,2011/4/19
2011/4/20,69,53,,7866,2011/4/20
2011/4/21,57,33,,8358,2011/4/21
2011/4/22,47,38,Rain,3352,2011/4/22
2011/4/23,57,50,Rain,8070,2011/4/23
2011/4/24,71,62,Rain-Hail-Thunderstorm,8376,2011/4/24
2011/4/25,71,62,Fog-Rain-Thunderstorm,8124,2011/4/25
2011/4/26,74,63,,8754,2011/4/26
2011/4/27,73,66,Rain-Thunderstorm,7718,2011/4/27
2011/4/28,69,61,Rain-Thunderstorm,8088,2011/4/28
2011/4/29,62,40,,9178,2011/4/29
2011/4/30,60,40,,10624,2011/4/30
2011/5/1,56,49,,6696,2011/5/1
2011/5/2,66,56,Rain,8770,2011/5/2
2011/5/3,72,60,,8874,2011/5/3
2011/5/4,54,45,Rain,5248,2011/5/4
2011/5/5,57,34,,8844,2011/5/5
2011/5/6,59,44,Rain-Thunderstorm,9186,2011/5/6
2011/5/7,62,44,Rain,9420,2011/5/7
2011/5/8,64,50,Rain,8664,2011/5/8
2011/5/9,63,48,,8670,2011/5/9
2011/5/10,64,43,,9562,2011/5/10
2011/5/11,68,51,,8344,2011/5/11
2011/5/12,64,55,,9710,2011/5/12
2011/5/13,62,58,Rain,8192,2011/5/13
2011/5/14,63,61,Rain-Thunderstorm,6804,2011/5/14
2011/5/15,69,62,Rain,9104,2011/5/15
2011/5/16,71,60,Rain-Thunderstorm,7900,2011/5/16
2011/5/17,68,61,Rain,8226,2011/5/17
2011/5/18,67,61,Rain-Thunderstorm,7686,2011/5/18
2011/5/19,65,57,Rain-Thunderstorm,9122,2011/5/19
2011/5/20,64,54,Rain,9812,2011/5/20
2011/5/21,70,56,,11606,2011/5/21
2011/5/22,71,61,Rain,9308,2011/5/22
2011/5/23,74,66,Rain,8538,2011/5/23
2011/5/24,77,66,Rain-Thunderstorm,8974,2011/5/24
2011/5/25,75,64,Rain-Thunderstorm,9932,2011/5/25
2011/5/26,80,67,,9328,2011/5/26
2011/5/27,77,65,Rain-Thunderstorm,9340,2011/5/27
2011/5/28,75,65,,9512,2011/5/28
2011/5/29,76,70,,9570,2011/5/29
2011/5/30,84,69,,8184,2011/5/30
2011/5/31,86,71,,7948,2011/5/31
2011/6/1,87,72,Rain-Hail-Thunderstorm,7930,2011/6/1
2011/6/2,79,46,,9924,2011/6/2
2011/6/3,72,42,,10596,2011/6/3
2011/6/4,73,49,,10678,2011/6/4
2011/6/5,76,62,,9804,2011/6/5
2011/6/6,77,60,,9076,2011/6/6
2011/6/7,79,63,,9640,2011/6/7
2011/6/8,86,69,,8780,2011/6/8
2011/6/9,91,69,Rain,7822,2011/6/9
2011/6/10,84,67,Rain-Thunderstorm,9156,2011/6/10
2011/6/11,84,68,,9928,2011/6/11
2011/6/12,81,69,Rain-Thunderstorm,8916,2011/6/12
2011/6/13,73,52,,10024,2011/6/13
2011/6/14,71,51,Rain,9758,2011/6/14
2011/6/15,72,50,,10334,2011/6/15
2011/6/16,75,62,Rain-Thunderstorm,7516,2011/6/16
2011/6/17,76,64,Rain-Thunderstorm,9664,2011/6/17
2011/6/18,79,66,Thunderstorm,10230,2011/6/18
2011/6/19,80,66,Rain,9484,2011/6/19
2011/6/20,74,64,Rain,8010,2011/6/20
2011/6/21,79,69,Rain-Thunderstorm,9644,2011/6/21
2011/6/22,82,71,,8988,2011/6/22
2011/6/23,81,71,Rain,9564,2011/6/23
2011/6/24,82,63,,9964,2011/6/24
2011/6/25,79,57,,10398,2011/6/25
2011/6/26,77,57,,10598,2011/6/26
2011/6/27,77,65,Rain,9396,2011/6/27
2011/6/28,85,69,Thunderstorm,9270,2011/6/28
2011/6/29,82,59,,10434,2011/6/29
2011/6/30,78,53,,11006,2011/6/30
2011/7/1,80,52,,10702,2011/7/1
2011/7/2,82,56,,10228,2011/7/2
2011/7/3,82,68,Rain-Thunderstorm,9296,2011/7/3
2011/7/4,82,67,,12070,2011/7/4
2011/7/5,83,67,,9304,2011/7/5
2011/7/6,81,71,Rain,9238,2011/7/6
2011/7/7,84,69,,9156,2011/7/7
2011/7/8,81,71,Rain-Thunderstorm,8062,2011/7/8
2011/7/9,82,65,,10660,2011/7/9
2011/7/10,83,66,,9756,2011/7/10
2011/7/11,86,70,Thunderstorm,8156,2011/7/11
2011/7/12,87,69,,8494,2011/7/12
2011/7/13,84,69,Rain-Thunderstorm,8666,2011/7/13
2011/7/14,77,55,,10142,2011/7/14
2011/7/15,76,60,,11056,2011/7/15
2011/7/16,77,61,,11842,2011/7/16
2011/7/17,81,65,,10594,2011/7/17
2011/7/18,83,69,,8890,2011/7/18
2011/7/19,88,72,Rain,9066,2011/7/19
2011/7/20,86,74,Thunderstorm,8646,2011/7/20
2011/7/21,90,77,,7548,2011/7/21
2011/7/22,93,74,Thunderstorm,6760,2011/7/22
2011/7/23,93,70,,6564,2011/7/23
2011/7/24,91,71,,7210,2011/7/24
2011/7/25,86,74,Rain-Thunderstorm,7668,2011/7/25
2011/7/26,86,64,,9154,2011/7/26
2011/7/27,86,58,,9288,2011/7/27
2011/7/28,87,69,,8758,2011/7/28
2011/7/29,92,70,,7688,2011/7/29
2011/7/30,89,64,,8948,2011/7/30
2011/7/31,90,63,,8600,2011/7/31
2011/8/1,88,65,Thunderstorm,8510,2011/8/1
2011/8/2,86,63,,9670,2011/8/2
2011/8/3,82,69,Rain,7140,2011/8/3
2011/8/4,82,71,Rain,9138,2011/8/4
2011/8/5,80,66,,9716,2011/8/5
2011/8/6,84,72,Rain,8584,2011/8/6
2011/8/7,87,74,Rain-Thunderstorm,7562,2011/8/7
2011/8/8,85,68,,8630,2011/8/8
2011/8/9,86,68,,9176,2011/8/9
2011/8/10,84,58,,9534,2011/8/10
2011/8/11,81,54,,9560,2011/8/11
2011/8/12,80,53,,9788,2011/8/12
2011/8/13,80,69,Rain-Thunderstorm,8282,2011/8/13
2011/8/14,77,70,Rain-Thunderstorm,7638,2011/8/14
2011/8/15,77,65,Rain-Thunderstorm,8674,2011/8/15
2011/8/16,80,62,,9430,2011/8/16
2011/8/17,81,64,,9362,2011/8/17
2011/8/18,83,66,Rain-Thunderstorm,7594,2011/8/18
2011/8/19,79,66,Rain-Thunderstorm,8290,2011/8/19
2011/8/20,79,66,,10380,2011/8/20
2011/8/21,83,72,Rain-Thunderstorm,7742,2011/8/21
2011/8/22,77,55,Rain,9508,2011/8/22
2011/8/23,72,51,,11762,2011/8/23
2011/8/24,76,62,,10228,2011/8/24
2011/8/25,78,71,Rain-Thunderstorm,7066,2011/8/25
2011/8/26,80,71,Rain,9310,2011/8/26
2011/8/27,76,71,Rain,2230,2011/8/27
2011/8/28,79,63,Rain,8662,2011/8/28
2011/8/29,74,56,,9246,2011/8/29
2011/8/30,73,55,,10388,2011/8/30
2011/8/31,74,59,,10094,2011/8/31
2011/9/1,74,61,Rain,10200,2011/9/1
2011/9/2,74,64,Rain-Thunderstorm,9436,2011/9/2
2011/9/3,76,66,Rain-Thunderstorm,8960,2011/9/3
2011/9/4,80,70,,9878,2011/9/4
2011/9/5,75,70,Rain,6702,2011/9/5
2011/9/6,66,61,Rain,5396,2011/9/6
2011/9/7,69,67,Fog-Rain-Thunderstorm,3974,2011/9/7
2011/9/8,75,71,Rain-Thunderstorm,3660,2011/9/8
2011/9/9,77,71,Rain,7068,2011/9/9
2011/9/10,76,67,,10680,2011/9/10
2011/9/11,76,64,Rain,10076,2011/9/11
2011/9/12,74,62,,9402,2011/9/12
2011/9/13,74,64,,9492,2011/9/13
2011/9/14,78,65,,9552,2011/9/14
2011/9/15,66,58,Rain,7292,2011/9/15
2011/9/16,58,43,,9484,2011/9/16
2011/9/17,61,51,,9018,2011/9/17
2011/9/18,62,51,,8548,2011/9/18
2011/9/19,65,55,,9052,2011/9/19
2011/9/20,68,62,Rain,7266,2011/9/20
2011/9/21,70,66,Rain,8686,2011/9/21
2011/9/22,73,69,Fog,9566,2011/9/22
2011/9/23,70,70,Rain,4772,2011/9/23
2011/9/24,71,66,,10832,2011/9/24
2011/9/25,74,68,Rain,10016,2011/9/25
2011/9/26,75,69,,9240,2011/9/26
2011/9/27,74,70,Rain,8214,2011/9/27
2011/9/28,74,68,Rain-Thunderstorm,7804,2011/9/28
2011/9/29,70,61,,9672,2011/9/29
2011/9/30,69,54,,10378,2011/9/30
2011/10/1,55,45,Rain,4848,2011/10/1
2011/10/2,49,42,Rain,5836,2011/10/2
2011/10/3,50,44,Rain,7122,2011/10/3
2011/10/4,65,49,,8886,2011/10/4
2011/10/5,64,51,,9630,2011/10/5
2011/10/6,60,46,,9502,2011/10/6
2011/10/7,63,50,,9942,2011/10/7
2011/10/8,64,51,,10816,2011/10/8
2011/10/9,66,54,,11018,2011/10/9
2011/10/10,70,57,,10220,2011/10/10
2011/10/11,67,61,Rain,9100,2011/10/11
2011/10/12,65,62,Rain,4814,2011/10/12
2011/10/13,71,66,Fog-Rain-Thunderstorm,5806,2011/10/13
2011/10/14,65,58,Rain,7268,2011/10/14
2011/10/15,61,41,,10428,2011/10/15
2011/10/16,61,42,,10078,2011/10/16
2011/10/17,63,48,,9130,2011/10/17
2011/10/18,64,53,,9472,2011/10/18
2011/10/19,66,62,Rain,4834,2011/10/19
2011/10/20,60,48,,8372,2011/10/20
2011/10/21,55,39,,8592,2011/10/21
2011/10/22,55,41,,8612,2011/10/22
2011/10/23,54,45,,8758,2011/10/23
2011/10/24,58,50,Rain,8354,2011/10/24
2011/10/25,59,44,,9352,2011/10/25
2011/10/26,60,51,Rain,7772,2011/10/26
2011/10/27,56,53,Rain,5304,2011/10/27
2011/10/28,47,32,Rain,7488,2011/10/28
2011/10/29,38,35,Rain-Snow,1254,2011/10/29
2011/10/30,45,31,,6654,2011/10/30
2011/10/31,46,36,Rain,7322,2011/10/31
2011/11/1,53,41,,8122,2011/11/1
2011/11/2,51,41,,8352,2011/11/2
2011/11/3,54,43,,7922,2011/11/3
2011/11/4,52,39,,8078,2011/11/4
2011/11/5,46,28,,7840,2011/11/5
2011/11/6,48,38,,7296,2011/11/6
2011/11/7,54,43,Fog,8016,2011/11/7
2011/11/8,55,43,,8394,2011/11/8
2011/11/9,53,44,,8214,2011/11/9
2011/11/10,53,45,Fog-Rain,5852,2011/11/10
2011/11/11,44,24,,6720,2011/11/11
2011/11/12,48,32,,8130,2011/11/12
2011/11/13,54,34,,7426,2011/11/13
2011/11/14,64,49,,8938,2011/11/14
2011/11/15,63,53,Rain,8368,2011/11/15
2011/11/16,56,55,Fog-Rain,3626,2011/11/16
2011/11/17,46,31,Rain,6088,2011/11/17
2011/11/18,41,18,,6772,2011/11/18
2011/11/19,46,28,,7312,2011/11/19
2011/11/20,58,48,Rain,7028,2011/11/20
2011/11/21,57,53,Fog-Rain,5524,2011/11/21
2011/11/22,56,52,Rain,3202,2011/11/22
2011/11/23,55,49,Fog-Rain,5126,2011/11/23
2011/11/24,50,33,,2988,2011/11/24
2011/11/25,51,37,,5576,2011/11/25
2011/11/26,50,39,,6132,2011/11/26
2011/11/27,59,47,,6130,2011/11/27
2011/11/28,61,53,,7706,2011/11/28
2011/11/29,57,51,Rain,5810,2011/11/29
2011/11/30,46,32,,7210,2011/11/30
2011/12/1,45,28,,7424,2011/12/1
2011/12/2,45,31,,7858,2011/12/2
2011/12/3,43,30,,7222,2011/12/3
2011/12/4,46,39,,6966,2011/12/4
2011/12/5,51,46,,7600,2011/12/5
2011/12/6,58,57,Fog-Rain,5172,2011/12/6
2011/12/7,49,52,Fog-Rain-Snow,1404,2011/12/7
2011/12/8,40,26,,6626,2011/12/8
2011/12/9,43,33,,7220,2011/12/9
2011/12/10,40,22,,6368,2011/12/10
2011/12/11,36,18,,5480,2011/12/11
2011/12/12,38,27,,6584,2011/12/12
2011/12/13,41,27,,7020,2011/12/13
2011/12/14,44,33,,7450,2011/12/14
2011/12/15,53,42,Rain,7396,2011/12/15
2011/12/16,53,30,,7112,2011/12/16
2011/12/17,38,24,Snow,5468,2011/12/17
2011/12/18,38,24,,4850,2011/12/18
2011/12/19,41,29,,6790,2011/12/19
2011/12/20,51,37,,7482,2011/12/20
2011/12/21,54,52,Rain,5308,2011/12/21
2011/12/22,54,46,Rain,6120,2011/12/22
2011/12/23,49,42,Rain,4404,2011/12/23
2011/12/24,41,27,Rain,2020,2011/12/24
2011/12/25,41,31,,1508,2011/12/25
2011/12/26,44,27,,2632,2011/12/26
2011/12/27,47,43,Rain,2314,2011/12/27
2011/12/28,42,24,,4594,2011/12/28
2011/12/29,38,25,,4832,2011/12/29
2011/12/30,45,32,,5982,2011/12/30
2011/12/31,54,39,Rain,4968,2011/12/31
2012/1/1,49,38,Rain,2294,2012/1/1
2012/1/2,41,16,,1950,2012/1/2
2012/1/3,28,8,Snow,2233,2012/1/3
2012/1/4,26,7,,2367,2012/1/4
2012/1/5,40,24,,3269,2012/1/5
2012/1/6,48,29,,4091,2012/1/6
2012/1/7,52,33,,4520,2012/1/7
2012/1/8,45,26,,3424,2012/1/8
2012/1/9,37,29,Fog-Rain-Snow,2370,2012/1/9
2012/1/10,43,31,Fog,3592,2012/1/10
2012/1/11,41,38,Rain,2174,2012/1/11
2012/1/12,51,43,Rain,4091,2012/1/12
2012/1/13,40,22,Rain,3207,2012/1/13
2012/1/14,33,13,,2491,2012/1/14
2012/1/15,32,10,,2306,2012/1/15
2012/1/16,34,19,Rain,2295,2012/1/16
2012/1/17,50,42,Rain,2931,2012/1/17
2012/1/18,43,20,,3370,2012/1/18
2012/1/19,33,17,,3285,2012/1/19
2012/1/20,34,17,Fog-Snow,3156,2012/1/20
2012/1/21,31,27,Rain-Snow,1300,2012/1/21
2012/1/22,31,25,Snow,1975,2012/1/22
2012/1/23,38,34,Fog-Rain,2429,2012/1/23
2012/1/24,47,41,,4327,2012/1/24
2012/1/25,43,31,,4259,2012/1/25
2012/1/26,48,41,,4060,2012/1/26
2012/1/27,52,49,Rain-Thunderstorm,3449,2012/1/27
2012/1/28,44,26,,4019,2012/1/28
2012/1/29,41,13,,3240,2012/1/29
2012/1/30,41,17,,3615,2012/1/30
2012/1/31,53,28,,4501,2012/1/31
2012/2/1,60,40,Rain,4574,2012/2/1
2012/2/2,50,41,Rain,3754,2012/2/2
2012/2/3,45,27,,4146,2012/2/3
2012/2/4,41,34,Rain,2831,2012/2/4
2012/2/5,40,30,Rain,2944,2012/2/5
2012/2/6,41,28,,3779,2012/2/6
2012/2/7,48,29,,4363,2012/2/7
2012/2/8,40,32,Rain,2794,2012/2/8
2012/2/9,40,24,,3824,2012/2/9
2012/2/10,40,26,Rain,3822,2012/2/10
2012/2/11,33,29,Rain-Snow,2168,2012/2/11
2012/2/12,28,10,Snow,1529,2012/2/12
2012/2/13,37,14,,3419,2012/2/13
2012/2/14,47,27,,3909,2012/2/14
2012/2/15,48,31,,4160,2012/2/15
2012/2/16,44,37,Rain,3000,2012/2/16
2012/2/17,47,35,Fog,4145,2012/2/17
2012/2/18,47,29,,4316,2012/2/18
2012/2/19,40,26,Rain-Snow,2689,2012/2/19
2012/2/20,42,22,,3127,2012/2/20
2012/2/21,41,29,,3771,2012/2/21
2012/2/22,53,36,,4767,2012/2/22
2012/2/23,57,40,Rain,5048,2012/2/23
2012/2/24,52,46,Rain-Thunderstorm,3480,2012/2/24
2012/2/25,41,19,Snow,2732,2012/2/25
2012/2/26,42,20,,3389,2012/2/26
2012/2/27,50,29,,4317,2012/2/27
2012/2/28,48,23,,4353,2012/2/28
2012/2/29,48,45,Rain,1829,2012/2/29
2012/3/1,58,46,Fog-Rain,4978,2012/3/1
2012/3/2,48,39,Rain-Thunderstorm,3190,2012/3/2
2012/3/3,56,39,Rain,4061,2012/3/3
2012/3/4,44,21,,3418,2012/3/4
2012/3/5,39,21,,3331,2012/3/5
2012/3/6,39,21,,3946,2012/3/6
2012/3/7,54,35,,4907,2012/3/7
2012/3/8,64,47,Rain,5374,2012/3/8
2012/3/9,54,27,Rain,4561,2012/3/9
2012/3/10,42,16,,4116,2012/3/10
2012/3/11,49,29,,4906,2012/3/11
2012/3/12,59,39,,5290,2012/3/12
2012/3/13,69,52,Rain,5833,2012/3/13
2012/3/14,68,46,,6305,2012/3/14
2012/3/15,68,50,,6183,2012/3/15
2012/3/16,55,50,Rain,4368,2012/3/16
2012/3/17,64,53,,7832,2012/3/17
2012/3/18,60,52,,5890,2012/3/18
2012/3/19,66,55,,6146,2012/3/19
2012/3/20,67,60,Rain-Thunderstorm,6088,2012/3/20
2012/3/21,65,58,Fog,6221,2012/3/21
2012/3/22,69,59,Fog,6859,2012/3/22
2012/3/23,71,58,,8351,2012/3/23
2012/3/24,63,58,Rain,3367,2012/3/24
2012/3/25,57,52,Rain,4993,2012/3/25
2012/3/26,51,32,,5549,2012/3/26
2012/3/27,45,14,,5093,2012/3/27
2012/3/28,59,41,Rain,5692,2012/3/28
2012/3/29,60,37,,6126,2012/3/29
2012/3/30,49,35,Rain,5447,2012/3/30
2012/3/31,56,46,,6233,2012/3/31
2012/4/1,56,44,Rain,6038,2012/4/1
2012/4/2,55,36,Rain,5920,2012/4/2
2012/4/3,58,31,,6757,2012/4/3
2012/4/4,65,42,,6419,2012/4/4
2012/4/5,55,29,,6441,2012/4/5
2012/4/6,52,25,,6453,2012/4/6
2012/4/7,54,20,,6855,2012/4/7
2012/4/8,61,27,,5168,2012/4/8
2012/4/9,61,29,Rain,5576,2012/4/9
2012/4/10,57,31,,5907,2012/4/10
2012/4/11,48,28,Rain,4849,2012/4/11
2012/4/12,53,30,,5396,2012/4/12
2012/4/13,56,31,,6389,2012/4/13
2012/4/14,61,41,,7458,2012/4/14
2012/4/15,72,51,,7124,2012/4/15
2012/4/16,76,58,,6361,2012/4/16
